Metric,Model,Problem,Score
Maintainability,GPT4,LIS,89.79
Maintainability,GPT4,MedianSortedArray,79.5
Maintainability,GPT4,RecArea,73.18
Maintainability,GPT4,RPN,95.37
Maintainability,GPT4,SW,89.36
Maintainability,GPT4,SwimInWater,61.27
Maintainability,GPT4,TrappingRainWater,82.87
Maintainability,Watsonx,BFS,90.47
Maintainability,Watsonx,Graph2D,91.53
Maintainability,Watsonx,GraphUnion,54.69
Maintainability,Watsonx,LIS,90.43
Maintainability,Watsonx,MedianSortedArray,58.47
Maintainability,Watsonx,RecArea,79.85
Maintainability,Watsonx,RPN,94.54
Maintainability,Watsonx,SW,64.44
Maintainability,Watsonx,SwimInWater,87.79
Maintainability,Watsonx,TrappingRainWater,96.45
Maintainability,Claude,BFS,51.34
Maintainability,Claude,Graph2D,55.13
Maintainability,Claude,GraphUnion,70.01
Maintainability,Claude,LIS,84.27
Maintainability,Claude,MedianSortedArray,63.61
Maintainability,Claude,RecArea,79.04
Maintainability,Claude,RPN,87.1
Maintainability,Claude,SW,84.01
Maintainability,Claude,SwimInWater,48.62
Maintainability,Claude,TrappingRainWater,81.07
Maintainability,CodeWhisperer,BFS,52.25
Maintainability,CodeWhisperer,Graph2D,59.72
Maintainability,CodeWhisperer,GraphUnion,58.89
Maintainability,CodeWhisperer,LIS,66.62
Maintainability,CodeWhisperer,MedianSortedArray,52.47
Maintainability,CodeWhisperer,RecArea,62.85
Maintainability,CodeWhisperer,RPN,64.96
Maintainability,CodeWhisperer,SW,61.57
Maintainability,CodeWhisperer,SwimInWater,54.74
Maintainability,CodeWhisperer,TrappingRainWater,59.95
Style,GPT4,BFS,7.24
Style,GPT4,Graph2D,7.5
Style,GPT4,GraphUnion,6.77
Style,GPT4,LIS,6.15
Style,GPT4,MedianSortedArray,3.0
Style,GPT4,RecArea,7.33
Style,GPT4,RPN,4.29
Style,GPT4,SW,6.92
Style,GPT4,SwimInWater,8.4
Style,GPT4,TrappingRainWater,7.33
Style,Watsonx,BFS,4.38
Style,Watsonx,Graph2D,0.0
Style,Watsonx,GraphUnion,6.5
Style,Watsonx,LIS,6.0
Style,Watsonx,MedianSortedArray,5.0
Style,Watsonx,RecArea,2.63
Style,Watsonx,RPN,5.0
Style,Watsonx,SW,6.0
Style,Watsonx,SwimInWater,3.64
Style,Watsonx,TrappingRainWater,2.5
Style,Claude,BFS,7.92
Style,Claude,Graph2D,7.37
Style,Claude,GraphUnion,8.1
Style,Claude,LIS,5.0
Style,Claude,MedianSortedArray,4.0
Style,Claude,RecArea,6.0
Style,Claude,RPN,5.83
Style,Claude,SW,8.0
Style,Claude,SwimInWater,9.0
Style,Claude,TrappingRainWater,7.5
Style,CodeWhisperer,BFS,5.79
Style,CodeWhisperer,Graph2D,6.0
Style,CodeWhisperer,GraphUnion,4.12
Style,CodeWhisperer,LIS,5.0
Style,CodeWhisperer,MedianSortedArray,4.5
Style,CodeWhisperer,RecArea,6.67
Style,CodeWhisperer,RPN,4.29
Style,CodeWhisperer,SW,6.15
Style,CodeWhisperer,SwimInWater,8.33
Style,CodeWhisperer,TrappingRainWater,7.14
